,Date,Open,High,Low,Close,Volume,Adj Close,Up or Down,100da,40da,20da
525,7/27/2012,28.709999,29.66,28.1,29.51,1673000,29.51,1.0,32.270900090000026,31.005000000000006,31.420000099999992
526,7/30/2012,29.51,30.25,27.209999,27.35,2065200,27.35,-1.0,32.21320010000002,30.985000000000003,31.223000049999996
527,7/31/2012,27.540001,27.969998999999998,27.35,27.42,1575100,27.42,-1.0,32.15670010000002,30.973500025000003,31.074000049999995
528,8/1/2012,27.99,27.99,26.030001000000002,26.25,1592300,26.25,-1.0,32.071800080000024,30.932000025,30.853500049999997
529,8/2/2012,26.84,26.85,25.52,26.1,1305100,26.1,-1.0,31.972700100000026,30.854000050000003,30.59700005
530,8/3/2012,26.9,27.549999,26.74,27.27,1209500,27.27,1.0,31.88450010000002,30.81250005,30.411000049999995
531,8/6/2012,27.549999,28.700001,27.549999,28.27,1528200,28.27,1.0,31.814300090000025,30.76725005,30.250000049999993
532,8/7/2012,28.77,30.9,28.5,30.25,2387200,30.25,1.0,31.766800090000025,30.795500025000003,30.199000049999995
533,8/8/2012,29.9,30.0,28.59,29.09,1308900,29.09,-1.0,31.704500090000025,30.781250025,30.078000049999996
534,8/9/2012,29.52,30.0,29.129998999999998,29.41,672600,29.41,-1.0,31.648800090000023,30.772250024999998,29.913499999999992
535,8/10/2012,29.309998999999998,29.940001000000002,29.309998999999998,29.940001000000002,707400,29.940001000000002,1.0,31.59860011000002,30.786000074999997,29.698000049999997
536,8/13/2012,29.690001000000002,31.299999,29.1,31.17,870100,31.17,1.0,31.558800090000023,30.817500074999998,29.45850009999999
537,8/14/2012,30.75,31.17,29.26,29.42,793400,29.42,-1.0,31.509000070000024,30.757000075,29.26200019999999
538,8/15/2012,29.389999,29.700001,28.809998999999998,29.4,525400,29.4,1.0,31.462200050000025,30.689750075000006,29.124500099999988
539,8/16/2012,29.530001000000002,30.389999,29.5,30.299999,669000,30.299999,1.0,31.391200020000024,30.602750075000007,29.026000049999986
540,8/17/2012,30.290001,30.709999,29.98,30.01,508200,30.01,-1.0,31.311900030000025,30.548250100000008,28.93699999999999
541,8/20/2012,30.15,30.389999,29.1,29.51,1179100,29.51,-1.0,31.228500050000026,30.441250075000006,28.87949999999999
542,8/21/2012,29.58,30.0,29.0,29.110001,761600,29.110001,-1.0,31.146300040000025,30.341250075000005,28.84300004999999
543,8/22/2012,29.01,30.040001,29.01,29.950001,775500,29.950001,1.0,31.073400030000027,30.299750075000002,28.89300004999999
544,8/23/2012,30.0,30.85,29.65,30.73,1471000,30.73,1.0,31.014900010000023,30.269000100000007,29.02300009999999
545,8/24/2012,30.059998999999998,30.24,29.41,29.5,1429400,29.5,-1.0,30.929800030000024,30.221250100000002,29.02250009999999
