Date,Open,High,Low,Close,Adj Close,Volume,300ma,100ma,40ma,20ma
2017-08-11,5.05,5.15,5.01,5.13,5.13,1298700,5.425454545454546,5.123299999999997,4.874999999999999,5.066999999999999
2017-08-14,5.11,5.17,4.94,4.94,4.94,2234700,5.422322580645162,5.120499999999997,4.879499999999999,5.0755
2017-08-15,4.9,4.98,4.89,4.97,4.97,1294500,5.419423076923077,5.118799999999998,4.8865,5.081999999999999
2017-08-16,4.99,5.02,4.85,4.86,4.86,2243600,5.415859872611465,5.1153999999999975,4.89125,5.078999999999999
2017-08-17,4.84,4.91,4.82,4.85,4.85,4221800,5.412278481012659,5.112299999999998,4.89925,5.075499999999999
2017-08-18,4.87,5.1,4.84,5.09,5.09,2409500,5.410251572327045,5.111099999999997,4.91475,5.092499999999999
2017-08-21,5.03,5.05,4.88,4.93,4.93,1780500,5.40725,5.106499999999998,4.9255,5.097999999999999
2017-08-22,4.96,5.01,4.92,4.96,4.96,1461400,5.404472049689442,5.100699999999998,4.9355,5.096499999999999
2017-08-23,4.94,5.04,4.93,5.03,5.03,1652500,5.402160493827161,5.095199999999998,4.944500000000001,5.093999999999999
2017-08-24,4.96,4.97,4.85,4.94,4.94,2405500,5.399325153374234,5.089399999999999,4.9502500000000005,5.083499999999999
2017-08-25,4.92,4.97,4.9,4.96,4.96,1251600,5.396646341463415,5.082799999999999,4.9565,5.0699999999999985
2017-08-28,4.91,4.92,4.74,4.83,4.83,4430300,5.393212121212122,5.075099999999999,4.95575,5.044999999999998
2017-08-29,4.79,4.81,4.7,4.79,4.79,3085800,5.389578313253013,5.0657999999999985,4.953,5.025999999999998
2017-08-30,4.75,4.82,4.71,4.72,4.72,2557500,5.38556886227545,5.055099999999999,4.95325,5.000999999999999
2017-08-31,4.8,4.91,4.79,4.86,4.86,3698200,5.382440476190477,5.044599999999998,4.958,4.987499999999999
2017-09-01,4.86,4.9,4.8,4.9,4.9,1303500,5.379585798816569,5.034299999999998,4.965750000000001,4.972499999999998
2017-09-05,5.06,5.12,5.04,5.07,5.07,4107700,5.377764705882354,5.026099999999998,4.97725,4.965999999999999
2017-09-06,5.14,5.18,5.09,5.14,5.14,2077900,5.37637426900585,5.018299999999997,4.98875,4.964499999999999
2017-09-07,5.11,5.17,5.09,5.16,5.16,3169700,5.375116279069768,5.011399999999997,5.000249999999999,4.9609999999999985
2017-09-08,5.14,5.14,4.89,4.93,4.93,2185500,5.372543352601157,5.0021999999999975,5.00375,4.9529999999999985
2017-09-11,4.9,5.03,4.87,4.99,4.99,1803900,5.370344827586208,4.996599999999997,5.006500000000001,4.945999999999999
2017-09-12,5.01,5.05,4.99,5.03,5.03,961000,5.368400000000001,4.992099999999997,5.013,4.950499999999999
2017-09-13,5.07,5.17,5.06,5.17,5.17,3471800,5.367272727272728,4.990499999999997,5.02125,4.960499999999999
2017-09-14,5.24,5.31,5.2,5.21,5.21,6443400,5.366384180790961,4.989799999999997,5.0285,4.977999999999999
2017-09-15,5.25,5.27,5.22,5.26,5.26,2192700,5.365786516853933,4.988699999999997,5.037000000000001,4.998499999999999
2017-09-18,5.21,5.26,5.14,5.24,5.24,1830000,5.365083798882682,4.987999999999997,5.049250000000001,5.0059999999999985
2017-09-19,5.26,5.28,5.15,5.18,5.18,1376700,5.364055555555556,4.986799999999997,5.058250000000001,5.018499999999999
2017-09-20,5.24,5.34,5.22,5.28,5.28,4094400,5.363591160220995,4.986699999999996,5.065500000000001,5.0344999999999995
2017-09-21,5.24,5.29,5.2,5.29,5.29,1230200,5.363186813186814,4.987299999999997,5.07075,5.047499999999999
2017-09-22,5.26,5.28,5.23,5.28,5.28,892500,5.3627322404371585,4.989399999999996,5.074,5.0645
2017-09-25,5.34,5.5,5.34,5.5,5.5,4960900,5.363478260869565,4.993399999999997,5.08075,5.0915
2017-09-26,5.42,5.46,5.38,5.44,5.44,1839900,5.3638918918918925,4.9995999999999965,5.0835,5.122
2017-09-27,5.47,5.49,5.4,5.47,5.47,4975700,5.3644623655913986,5.004899999999997,5.091,5.156
2017-09-28,5.53,5.55,5.34,5.39,5.39,4539700,5.364598930481284,5.009299999999997,5.09525,5.1895
2017-09-29,5.37,5.42,5.35,5.38,5.38,740600,5.36468085106383,5.013899999999996,5.1015,5.2155
2017-10-02,5.22,5.27,5.18,5.24,5.24,2065800,5.364021164021165,5.0151999999999965,5.102500000000001,5.232499999999999
2017-10-03,5.24,5.28,5.22,5.23,5.23,653500,5.363315789473685,5.015799999999996,5.103250000000001,5.240499999999999
2017-10-04,5.23,5.27,5.15,5.16,5.16,1814100,5.3622513089005235,5.0155999999999965,5.103000000000001,5.2414999999999985
2017-10-05,5.19,5.34,5.19,5.28,5.28,2256000,5.361822916666667,5.0155999999999965,5.104250000000001,5.247499999999999
2017-10-06,5.12,5.12,5.05,5.08,5.08,3919600,5.360362694300518,5.013999999999997,5.104000000000001,5.254999999999998
2017-10-09,5.12,5.14,5.08,5.11,5.11,1062900,5.3590721649484525,5.012499999999997,5.103500000000002,5.260999999999998
2017-10-10,5.25,5.32,5.23,5.3,5.3,2820100,5.35876923076923,5.012699999999997,5.1125000000000025,5.274499999999998
2017-10-11,5.31,5.36,5.25,5.34,5.34,1654200,5.358673469387754,5.011499999999997,5.121750000000002,5.282999999999999
2017-10-12,5.22,5.29,5.2,5.26,5.26,2731300,5.358172588832486,5.009199999999996,5.131750000000002,5.285499999999999
2017-10-13,5.36,5.38,5.3,5.35,5.35,2244700,5.358131313131311,5.007099999999997,5.144250000000001,5.289999999999998
2017-10-16,5.46,5.47,5.39,5.42,5.42,2065300,5.358442211055275,5.005899999999997,5.152500000000002,5.298999999999999
2017-10-17,5.43,5.47,5.34,5.43,5.43,2317300,5.358799999999999,5.008599999999997,5.165000000000001,5.311499999999998
2017-10-18,5.46,5.48,5.4,5.42,5.42,1569300,5.35910447761194,5.009799999999997,5.176500000000001,5.3184999999999985
2017-10-19,5.34,5.39,5.33,5.35,5.35,1599900,5.3590594059405925,5.0105999999999975,5.184500000000001,5.321499999999998
2017-10-20,5.29,5.4,5.29,5.39,5.39,873300,5.3592118226600975,5.013499999999997,5.19575,5.326999999999997
2017-10-23,5.42,5.44,5.36,5.39,5.39,1250300,5.359362745098039,5.016799999999996,5.2065,5.321499999999998
2017-10-24,5.43,5.48,5.37,5.46,5.46,1526600,5.3598536585365855,5.020999999999996,5.22225,5.322499999999997
2017-10-25,5.44,5.46,5.39,5.43,5.43,1447900,5.360194174757281,5.025299999999996,5.23825,5.320499999999997
2017-10-26,5.41,5.5,5.39,5.5,5.5,2975200,5.360869565217391,5.029099999999996,5.25775,5.325999999999997
2017-10-27,5.5,5.69,5.48,5.69,5.69,4780000,5.362451923076923,5.037799999999996,5.278499999999999,5.341499999999997
2017-10-30,5.5,5.75,5.5,5.71,5.71,3364100,5.364114832535885,5.046599999999996,5.29875,5.364999999999997
2017-10-31,5.69,5.77,5.68,5.74,5.74,1641400,5.365904761904763,5.055399999999996,5.3155,5.390499999999997
2017-11-01,5.82,5.84,5.68,5.72,5.72,2130400,5.367582938388626,5.063899999999997,5.33,5.418499999999996
2017-11-02,5.73,5.81,5.71,5.8,5.8,2806900,5.369622641509435,5.072699999999996,5.346000000000001,5.444499999999996
